,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,District,Ward,PopPlusDistrict,Wardcode,hhSocialRented,JobSeekers,Noqual,Carsperhousehold,Crimerate,Openspace,Districtcode,Combinedlifeexpectancy
463,Newham - Wall End,14846.0,89.0,78.6,80.3,25.239121648929,6.5,82.2,59.8,29.7,Newham,Wall End,"14846, Newham",00BBGW,17.7,8.4,19.6,0.7,63.7,33.9,00BB,79.44999999999999
464,Lewisham - Forest Hill,14854.0,74.1,76.5,80.4,21.1188905345362,10.0,38.2,31.1,8.2,Lewisham,Forest Hill,"14854, Lewisham",00AZGL,26.4,7.6,13.9,0.7,78.2,22.2,00AZ,78.45
465,Tower Hamlets - East India and Lansbury,14859.0,102.2,74.9,81.8,27.7676828857931,7.0,63.7,39.5,18.6,Tower Hamlets,East India and Lansbury,"14859, Tower Hamlets",00BGGC,57.5,19.5,30.7,0.4,107.4,12.5,00BG,78.35
466,Tower Hamlets - Whitechapel,14862.0,66.9,73.6,83.2,16.3706096083973,5.6,60.2,48.8,24.8,Tower Hamlets,Whitechapel,"14862, Tower Hamlets",00BGGN,32.9,9.3,17.1,0.3,146.5,5.4,00BG,78.4
467,Ealing - South Acton,14873.0,62.9,76.4,79.8,20.453170174141103,11.1,43.5,50.5,23.4,Ealing,South Acton,"14873, Ealing",00AJGX,33.9,7.3,16.2,0.7,106.8,17.5,00AJ,78.1
468,Bromley - West Wickham,14884.0,52.2,80.9,84.7,19.8535339962376,19.7,10.6,9.7,1.3,Bromley,West Wickham,"14884, Bromley",00AFHB,4.4,2.2,15.2,1.4,40.8,32.6,00AF,82.80000000000001
469,Enfield - Town,14906.0,61.6,79.9,83.8,20.1730846638937,14.9,18.0,17.1,4.4,Enfield,Town,"14906, Enfield",00AKHE,6.1,3.8,17.4,1.2,54.5,16.0,00AK,81.85
470,Lambeth - Streatham Wells,14906.0,68.6,75.4,77.7,19.327787468133604,8.3,43.1,41.2,14.2,Lambeth,Streatham Wells,"14906, Lambeth",00AYGR,20.8,6.2,13.9,0.6,81.4,18.3,00AY,76.55000000000001
471,Brent - Kensal Green,14915.0,94.6,76.7,83.1,19.5507877975193,9.0,52.3,50.2,21.9,Brent,Kensal Green,"14915, Brent",00AEGR,26.7,13.3,19.7,0.6,141.0,6.9,00AE,79.9
472,Lewisham - Rushey Green,14916.0,78.2,75.2,80.1,22.036739072137298,9.0,59.1,38.0,10.2,Lewisham,Rushey Green,"14916, Lewisham",00AZGT,26.9,9.2,18.0,0.6,140.6,24.1,00AZ,77.65
473,Lewisham - Crofton Park,14937.0,84.4,78.5,86.4,19.5353819374707,9.1,39.6,30.1,7.0,Lewisham,Crofton Park,"14937, Lewisham",00AZGH,16.8,5.9,15.3,0.7,70.7,20.7,00AZ,82.45
474,Wandsworth - Northcote,14940.0,72.9,80.1,81.1,19.0361445783133,6.0,14.9,28.9,5.7,Wandsworth,Northcote,"14940, Wandsworth",00BJGJ,13.6,2.3,6.7,0.8,112.9,34.0,00BJ,80.6
475,Southwark - Cathedrals,14941.0,26.6,75.0,93.3,10.6887089217589,7.4,38.4,40.0,10.4,Southwark,Cathedrals,"14941, Southwark",00BEGE,42.8,7.1,12.7,0.4,208.6,15.3,00BE,84.15
476,Brent - Sudbury,14950.0,115.0,80.5,84.8,20.6622073578595,10.5,77.3,62.2,28.4,Brent,Sudbury,"14950, Brent",00AEHB,15.0,6.1,18.1,0.9,82.5,34.6,00AE,82.65
477,Havering - Brooklands,14957.0,67.1,73.8,77.7,21.0670589021863,13.5,22.3,17.4,4.4,Havering,Brooklands,"14957, Havering",00ARGC,17.4,5.0,24.9,1.0,76.8,44.9,00AR,75.75
478,Croydon - Kenley,14966.0,76.0,78.0,80.7,20.7603902178271,14.9,23.2,17.9,3.0,Croydon,Kenley,"14966, Croydon",00AHGQ,11.4,4.0,14.6,1.3,39.8,39.6,00AH,79.35
479,Islington - Holloway,14983.0,35.0,72.8,81.1,15.5776546752987,8.2,36.1,39.6,14.9,Islington,Holloway,"14983, Islington",00AUGG,46.5,6.2,18.8,0.4,79.4,16.9,00AU,76.94999999999999
480,Wandsworth - East Putney,15022.0,45.7,80.7,85.1,13.273864998002901,11.0,20.6,39.4,9.3,Wandsworth,East Putney,"15022, Wandsworth",00BJGC,11.3,2.2,7.9,0.7,49.0,11.0,00BJ,82.9
481,Islington - Highbury West,15030.0,54.4,75.3,85.1,15.189620758483,6.7,32.1,34.5,12.8,Islington,Highbury West,"15030, Islington",00AUGE,33.5,6.0,12.6,0.4,86.8,10.5,00AU,80.19999999999999
482,Southwark - Camberwell Green,15032.0,69.6,74.4,85.1,21.1881319850985,7.4,61.1,46.8,13.4,Southwark,Camberwell Green,"15032, Southwark",00BEGD,63.5,11.6,19.3,0.4,128.1,1.6,00BE,79.75
483,Lambeth - Ferndale,15032.0,37.5,74.8,82.6,12.5598722724854,6.2,40.4,41.7,11.8,Lambeth,Ferndale,"15032, Lambeth",00AYGE,37.4,6.6,13.3,0.4,172.6,10.2,00AY,78.69999999999999
484,Hillingdon - Botwell,15034.0,94.5,75.6,82.0,24.9634162564853,9.1,60.2,42.7,17.9,Hillingdon,Botwell,"15034, Hillingdon",00ASGH,25.2,7.6,24.0,1.1,111.0,32.2,00AS,78.8
485,Brent - Dudden Hill,15059.0,76.0,85.3,88.1,20.399760940301498,9.7,55.9,56.2,23.8,Brent,Dudden Hill,"15059, Brent",00AEGN,19.9,9.1,19.8,0.8,112.1,11.5,00AE,86.69999999999999
486,Haringey - Tottenham Hale,15064.0,69.1,75.7,78.3,23.645778013807803,7.8,57.4,53.5,22.3,Haringey,Tottenham Hale,"15064, Haringey",00APGR,39.2,11.8,24.7,0.5,133.3,29.0,00AP,77.0
487,Bromley - Bickley,15098.0,57.7,78.3,81.5,19.2210888859452,19.8,14.5,15.7,2.7,Bromley,Bickley,"15098, Bromley",00AFGD,7.0,2.4,14.5,1.4,45.3,22.1,00AF,79.9
488,Brent - Tokyngton,15105.0,99.6,80.5,86.6,18.417742469381,11.3,76.3,62.9,26.6,Brent,Tokyngton,"15105, Brent",00AEHC,12.0,4.7,19.4,0.9,132.9,19.7,00AE,83.55
489,Lambeth - Oval,15106.0,42.1,77.1,79.8,13.9944392956441,7.2,36.9,42.6,15.0,Lambeth,Oval,"15106, Lambeth",00AYGK,34.8,6.0,13.0,0.4,146.2,24.9,00AY,78.44999999999999
490,Lambeth - Herne Hill,15107.0,67.3,74.3,82.8,18.3689680280665,7.2,39.6,35.3,10.8,Lambeth,Herne Hill,"15107, Lambeth",00AYGG,31.8,8.5,12.2,0.5,133.6,37.9,00AY,78.55
491,Tower Hamlets - Shadwell,15110.0,78.3,81.0,95.2,22.3891462607545,6.3,64.4,45.1,23.2,Tower Hamlets,Shadwell,"15110, Tower Hamlets",00BGGK,42.7,14.8,21.3,0.4,77.9,24.2,00BG,88.1
492,Newham - Green Street West,15113.0,86.8,80.7,86.6,21.015020181300898,7.4,89.3,61.1,32.7,Newham,Green Street West,"15113, Newham",00BBGN,13.5,9.7,21.6,0.7,85.5,3.2,00BB,83.65
493,Bromley - Bromley Common and Keston,15113.0,63.5,79.8,83.6,20.743730563091397,16.6,12.8,12.1,1.9,Bromley,Bromley Common and Keston,"15113, Bromley",00AFGF,15.7,4.3,20.5,1.3,52.8,59.3,00AF,81.69999999999999
494,Ealing - Northolt West End,15121.0,102.2,78.6,86.0,25.553865485086998,9.8,55.1,41.5,18.6,Ealing,Northolt West End,"15121, Ealing",00AJGT,34.5,9.4,25.1,0.9,116.4,56.3,00AJ,82.3
495,Bromley - Plaistow and Sundridge,15122.0,68.7,77.8,81.2,19.6270334611824,14.8,19.3,16.9,3.9,Bromley,Plaistow and Sundridge,"15122, Bromley",00AFGZ,17.4,4.7,18.6,1.0,59.5,40.5,00AF,79.5
496,Newham - Beckton,15141.0,55.1,81.9,82.6,21.9932633247474,4.8,54.2,49.7,23.5,Newham,Beckton,"15141, Newham",00BBGB,36.5,6.5,19.2,0.7,121.2,30.9,00BB,82.25
497,Brent - Queensbury,15155.0,73.2,85.1,85.8,20.0857802705378,12.2,72.9,57.7,24.1,Brent,Queensbury,"15155, Brent",00AEGZ,15.3,4.2,21.4,1.2,85.0,13.7,00AE,85.44999999999999
498,Barnet - Totteridge,15159.0,68.7,80.3,83.0,20.1068672075994,16.8,34.3,37.6,13.7,Barnet,Totteridge,"15159, Barnet",00ACGP,8.7,2.5,13.0,1.3,49.2,57.7,00AC,81.65
499,Enfield - Palmers Green,15162.0,64.8,78.9,83.3,18.8431605329112,13.3,35.4,41.4,18.1,Enfield,Palmers Green,"15162, Enfield",00AKGZ,9.0,5.7,20.6,1.0,80.2,15.4,00AK,81.1
500,Redbridge - Seven Kings,15164.0,82.3,78.0,79.7,24.2152466367713,9.2,76.7,47.6,19.3,Redbridge,Seven Kings,"15164, Redbridge",00BCGR,8.2,8.0,18.4,1.0,96.4,30.0,00BC,78.85
501,Hounslow - Hounslow Central,15169.0,81.6,78.5,87.0,18.5312149779155,9.5,70.7,64.5,29.5,Hounslow,Hounslow Central,"15169, Hounslow",00ATGL,16.9,3.9,12.8,0.7,213.4,11.1,00AT,82.75
502,Hackney - Hoxton,15174.0,47.7,77.9,84.0,15.862659812837698,6.2,46.5,44.8,16.6,Hackney,Hoxton,"15174, Hackney",00AMGK,54.3,9.4,17.7,0.3,103.8,27.6,00AM,80.95
503,Southwark - Chaucer,15178.0,36.3,88.5,97.5,14.824087495058599,5.2,49.9,45.2,13.3,Southwark,Chaucer,"15178, Southwark",00BEGF,43.3,6.4,11.3,0.4,122.6,5.6,00BE,93.0
504,Ealing - Northolt Mandeville,15183.0,91.7,77.6,85.0,23.506553382072102,10.7,51.7,44.1,19.5,Ealing,Northolt Mandeville,"15183, Ealing",00AJGS,24.2,7.8,21.5,0.9,95.4,34.4,00AJ,81.3
505,Tower Hamlets - Mile End and Globe Town,15190.0,35.2,76.5,86.4,18.8940092165899,6.6,52.6,40.6,16.4,Tower Hamlets,Mile End and Globe Town,"15190, Tower Hamlets",00BGGE,46.0,8.8,19.5,0.4,85.0,12.4,00BG,81.45
506,Wandsworth - Graveney,15198.0,63.8,76.9,84.0,17.8707724700618,8.8,46.4,42.4,14.4,Wandsworth,Graveney,"15198, Wandsworth",00BJGF,17.8,5.2,14.7,0.6,105.1,2.6,00BJ,80.45
507,Lewisham - Catford South,15214.0,68.9,77.4,81.4,21.4670698041278,11.3,56.2,32.2,7.1,Lewisham,Catford South,"15214, Lewisham",00AZGG,12.6,6.5,17.3,0.9,57.0,3.0,00AZ,79.4
508,Wandsworth - Wandsworth Common,15247.0,72.8,76.7,79.6,18.6922017446055,8.1,17.8,25.7,4.5,Wandsworth,Wandsworth Common,"15247, Wandsworth",00BJGS,12.6,2.1,11.0,1.0,60.6,48.2,00BJ,78.15
509,Brent - Queens Park,15281.0,76.3,80.4,87.9,17.983116288201,8.6,37.0,41.9,14.4,Brent,Queens Park,"15281, Brent",00AEGY,19.9,6.9,13.3,0.7,115.0,19.1,00AE,84.15
510,Barnet - High Barnet,15307.0,56.5,78.2,82.3,18.455608545110103,16.5,18.3,22.1,6.3,Barnet,High Barnet,"15307, Barnet",00ACGL,7.7,2.9,13.1,1.2,81.9,47.9,00AC,80.25
511,Bromley - Orpington,15311.0,57.0,79.1,84.6,19.1626934883417,21.2,12.6,11.9,2.3,Bromley,Orpington,"15311, Bromley",00AFGW,15.8,4.8,22.3,1.2,77.6,26.3,00AF,81.85
512,Newham - Manor Park,15318.0,97.6,75.3,79.5,23.5082908995952,7.1,81.5,56.2,27.6,Newham,Manor Park,"15318, Newham",00BBGQ,22.5,10.9,20.7,0.7,83.3,26.6,00BB,77.4
513,Ealing - Perivale,15339.0,88.3,82.6,87.0,20.1251711324076,11.0,54.6,55.4,26.7,Ealing,Perivale,"15339, Ealing",00AJGW,8.5,5.0,17.4,1.1,89.0,38.3,00AJ,84.8
514,Wandsworth - Latchmere,15358.0,59.1,73.0,81.5,18.9608021877849,8.5,44.5,39.7,11.5,Wandsworth,Latchmere,"15358, Wandsworth",00BJGG,47.0,8.2,17.9,0.4,85.0,12.5,00BJ,77.25
515,Southwark - Grange,15362.0,59.7,77.9,81.1,14.106236167165699,6.5,39.1,38.3,10.8,Southwark,Grange,"15362, Southwark",00BEGL,45.0,7.6,15.7,0.4,140.5,4.5,00BE,79.5
516,Bromley - Copers Cope,15392.0,61.5,77.4,82.4,13.169178794178801,16.8,17.4,20.3,4.6,Bromley,Copers Cope,"15392, Bromley",00AFGL,9.2,3.1,12.1,1.0,69.5,17.1,00AF,79.9
517,Ealing - Acton Central,15427.0,75.1,81.3,90.7,19.66033577494,9.6,40.0,48.3,21.0,Ealing,Acton Central,"15427, Ealing",00AJGC,23.3,6.6,14.3,0.7,100.9,24.2,00AJ,86.0
518,Bromley - Cray Valley East,15445.0,70.1,77.6,81.1,22.1819359015863,15.9,14.6,12.3,2.5,Bromley,Cray Valley East,"15445, Bromley",00AFGM,24.7,6.1,27.9,1.0,115.7,76.4,00AF,79.35
519,Wandsworth - Earlsfield,15448.0,68.1,76.1,84.2,14.9598653547385,6.7,27.7,33.4,8.2,Wandsworth,Earlsfield,"15448, Wandsworth",00BJGB,21.7,3.1,11.9,0.7,68.0,16.7,00BJ,80.15
520,Newham - Plaistow North,15470.0,96.0,75.3,82.2,23.6005171299289,7.1,73.4,52.1,23.6,Newham,Plaistow North,"15470, Newham",00BBGR,41.7,11.3,23.6,0.5,74.0,10.3,00BB,78.75
521,Brent - Preston,15474.0,100.4,80.1,86.2,20.427814398345603,12.4,70.0,57.3,22.8,Brent,Preston,"15474, Brent",00AEGX,12.6,4.9,17.5,1.0,86.3,19.1,00AE,83.15
522,Wandsworth - Furzedown,15504.0,74.2,77.2,81.4,22.045923632610897,9.8,43.1,36.7,12.9,Wandsworth,Furzedown,"15504, Wandsworth",00BJGE,16.8,6.5,15.5,0.7,54.0,18.8,00BJ,79.30000000000001
523,Brent - Mapesbury,15529.0,72.6,78.6,86.0,16.066713890141,8.3,43.4,52.3,21.3,Brent,Mapesbury,"15529, Brent",00AEGU,19.2,7.3,14.5,0.6,97.9,9.7,00AE,82.3
524,Hounslow - Feltham West,15541.0,93.6,77.1,82.7,24.9919567595393,6.3,35.5,32.3,14.2,Hounslow,Feltham West,"15541, Hounslow",00ATGE,27.2,4.5,20.5,1.0,92.2,41.4,00AT,79.9
525,Newham - West Ham,15551.0,64.1,77.2,80.9,21.5998971127259,7.0,65.5,51.2,22.1,Newham,West Ham,"15551, Newham",00BBGX,40.9,10.9,20.9,0.5,78.6,27.2,00BB,79.05000000000001
526,Bromley - Clock House,15560.0,77.7,78.8,84.7,19.7879177377892,11.5,20.6,17.3,3.9,Bromley,Clock House,"15560, Bromley",00AFGK,12.6,3.7,15.2,1.0,51.4,16.3,00AF,81.75
527,Ealing - Hanger Hill,15561.0,71.1,83.2,88.2,18.9705031810295,12.8,43.1,53.1,23.8,Ealing,Hanger Hill,"15561, Ealing",00AJGM,4.7,3.3,9.2,1.0,73.2,26.7,00AJ,85.7
528,Southwark - The Lane,15565.0,87.8,74.5,83.8,19.8393832316094,9.1,50.7,37.7,8.5,Southwark,The Lane,"15565, Southwark",00BEGY,41.5,9.7,17.5,0.5,150.3,6.0,00BE,79.15
529,Newham - East Ham South,15575.0,100.0,74.9,80.2,27.8523274478331,7.4,67.7,46.6,19.7,Newham,East Ham South,"15575, Newham",00BBGJ,31.1,10.4,24.3,0.7,92.0,23.5,00BB,77.55000000000001
530,Brent - Willesden Green,15587.0,54.4,78.2,88.1,19.1634054019375,7.6,52.7,56.3,25.9,Brent,Willesden Green,"15587, Brent",00AEHF,26.8,8.9,18.5,0.5,127.5,36.8,00AE,83.15
531,Lewisham - Sydenham,15605.0,71.8,75.4,80.3,20.1666132649792,11.9,41.8,30.2,7.1,Lewisham,Sydenham,"15605, Lewisham",00AZGU,34.7,8.0,18.7,0.7,83.7,13.1,00AZ,77.85
532,Lewisham - Perry Vale,15618.0,73.5,76.2,80.8,20.687668075297697,9.6,42.5,30.5,7.2,Lewisham,Perry Vale,"15618, Lewisham",00AZGS,26.5,7.1,16.2,0.7,74.7,9.7,00AZ,78.5
533,Enfield - Ponders End,15664.0,61.6,77.6,80.8,25.9001532175689,9.1,54.6,43.5,19.0,Enfield,Ponders End,"15664, Enfield",00AKHA,25.6,13.7,26.9,0.8,93.0,44.5,00AK,79.19999999999999
534,Waltham Forest - Lea Bridge,15671.0,107.0,73.2,77.7,23.891264118435302,8.4,64.8,50.4,21.2,Waltham Forest,Lea Bridge,"15671, Waltham Forest",00BHGL,18.4,11.9,23.0,0.6,127.3,40.1,00BH,75.45
535,Greenwich - Abbey Wood,15704.0,105.3,74.3,81.1,26.853031074885397,9.6,46.3,32.0,7.6,Greenwich,Abbey Wood,"15704, Greenwich",00ALGP,38.9,9.0,25.3,0.7,82.9,43.9,00AL,77.69999999999999
536,Barnet - Finchley Church End,15715.0,72.1,82.4,86.3,18.7527839643653,16.5,33.1,40.9,14.5,Barnet,Finchley Church End,"15715, Barnet",00ACGF,4.9,3.4,12.3,1.2,53.5,13.7,00AC,84.35
537,Lewisham - New Cross,15756.0,74.9,73.7,78.2,20.1891342980452,5.9,59.7,46.6,15.3,Lewisham,New Cross,"15756, Lewisham",00AZGR,40.5,10.0,17.9,0.5,144.9,16.6,00AZ,75.95
538,Lambeth - Tulse Hill,15771.0,63.2,77.4,81.4,21.0259336757339,6.6,52.6,38.6,11.3,Lambeth,Tulse Hill,"15771, Lambeth",00AYGU,43.2,11.0,14.7,0.5,95.8,16.6,00AY,79.4
539,Brent - Barnhill,15772.0,79.0,79.6,82.7,20.8787725082425,12.3,69.7,56.5,22.9,Brent,Barnhill,"15772, Brent",00AEGK,26.6,6.7,18.1,1.0,83.4,31.6,00AE,81.15
540,Croydon - Croham,15790.0,77.8,78.9,83.3,18.2457251424953,12.0,31.3,24.3,6.5,Croydon,Croham,"15790, Croydon",00AHGL,8.3,4.4,12.0,1.0,73.3,19.1,00AH,81.1
541,Barnet - Oakleigh,15811.0,72.5,78.9,84.3,19.1006261463538,16.4,26.7,28.5,8.6,Barnet,Oakleigh,"15811, Barnet",00ACGN,7.3,3.7,14.7,1.3,59.6,15.3,00AC,81.6
542,Lambeth - Brixton Hill,15842.0,44.5,74.8,78.4,15.7050877414468,7.0,41.5,37.4,11.1,Lambeth,Brixton Hill,"15842, Lambeth",00AYGA,32.2,7.9,13.8,0.5,112.2,13.1,00AY,76.6
543,Newham - Green Street East,15885.0,96.4,81.9,83.0,22.259993704752898,5.7,89.9,62.2,33.2,Newham,Green Street East,"15885, Newham",00BBGM,12.8,9.5,20.3,0.6,70.4,2.4,00BB,82.45
544,Bromley - Kelsey and Eden Park,15892.0,46.1,82.0,85.0,20.2554744525547,17.5,16.0,13.6,2.5,Bromley,Kelsey and Eden Park,"15892, Bromley",00AFGT,8.6,3.1,17.1,1.3,79.6,43.6,00AF,83.5
545,Bromley - Hayes and Coney Hall,15906.0,48.9,80.5,86.7,20.042751163083103,17.9,8.3,8.7,1.0,Bromley,Hayes and Coney Hall,"15906, Bromley",00AFGS,3.1,2.2,15.7,1.4,38.0,69.5,00AF,83.6
546,Barnet - Underhill,15915.0,48.9,78.2,82.6,20.5717876217405,16.2,27.3,25.4,6.9,Barnet,Underhill,"15915, Barnet",00ACGQ,25.7,5.4,21.6,1.1,64.4,43.7,00AC,80.4
547,Newham - East Ham Central,15917.0,104.2,75.1,81.7,22.453980021360803,7.1,81.9,61.4,29.1,Newham,East Ham Central,"15917, Newham",00BBGG,15.7,8.4,19.3,0.6,174.4,10.9,00BB,78.4
548,Havering - Romford Town,15921.0,70.0,76.4,81.0,17.6747691727907,14.0,16.4,16.6,5.6,Havering,Romford Town,"15921, Havering",00ARGR,13.0,5.0,21.0,0.9,225.4,8.1,00AR,78.7
549,Barnet - Garden Suburb,15929.0,73.5,82.7,87.3,20.3653713353004,16.3,21.4,36.0,10.9,Barnet,Garden Suburb,"15929, Barnet",00ACGG,4.9,2.0,8.2,7.2,82.1,24.2,00AC,85.0
550,Haringey - Seven Sisters,15968.0,90.7,77.6,89.3,27.041583166332696,7.3,41.2,49.1,22.5,Haringey,Seven Sisters,"15968, Haringey",00APGN,31.8,10.3,24.4,0.5,95.2,23.4,00AP,83.44999999999999
551,Newham - Boleyn,15982.0,89.0,75.6,82.4,24.940558127893897,7.5,78.1,54.8,26.4,Newham,Boleyn,"15982, Newham",00BBGC,25.8,9.8,22.4,0.6,109.5,6.1,00BB,79.0
552,Tower Hamlets - Limehouse,15986.0,70.3,77.0,79.3,22.275741273614397,6.2,56.8,43.8,19.7,Tower Hamlets,Limehouse,"15986, Tower Hamlets",00BGGD,41.2,11.7,21.9,0.5,84.2,23.4,00BG,78.15
553,Barnet - East Finchley,15989.0,67.8,79.3,84.9,18.869222590531002,13.0,28.2,34.4,10.4,Barnet,East Finchley,"15989, Barnet",00ACGD,22.2,4.2,14.1,0.8,69.4,37.8,00AC,82.1
554,Newham - Canning Town South,15996.0,59.8,74.5,85.9,21.0865216304076,7.1,54.5,47.5,19.9,Newham,Canning Town South,"15996, Newham",00BBGE,36.0,9.2,22.6,0.5,86.2,26.6,00BB,80.2
555,Enfield - Enfield Highway,16027.0,70.6,78.1,86.2,26.255693517189698,10.3,42.2,34.3,14.5,Enfield,Enfield Highway,"16027, Enfield",00AKGR,24.4,9.6,30.1,1.0,87.8,40.6,00AK,82.15
556,Croydon - Upper Norwood,16082.0,82.2,78.1,82.8,20.992413878870803,11.0,51.3,33.9,9.0,Croydon,Upper Norwood,"16082, Croydon",00AHHB,20.6,7.7,16.6,0.9,85.7,19.5,00AH,80.44999999999999
557,Wandsworth - Roehampton,16132.0,48.3,74.1,81.2,18.4540044631788,10.5,34.5,38.6,15.5,Wandsworth,Roehampton,"16132, Wandsworth",00BJGL,46.0,8.3,18.2,0.6,84.7,70.6,00BJ,77.65
558,Barnet - East Barnet,16137.0,65.8,80.5,84.5,20.7225630538514,13.7,23.4,23.4,7.2,Barnet,East Barnet,"16137, Barnet",00ACGC,9.8,4.3,17.1,1.2,59.0,34.9,00AC,82.5
559,Croydon - Bensham Manor,16201.0,90.1,80.9,84.3,23.060304919449397,9.8,73.5,45.3,12.9,Croydon,Bensham Manor,"16201, Croydon",00AHGG,11.9,8.5,17.9,0.8,68.8,7.7,00AH,82.6
560,Tower Hamlets - St. Dunstan's and Stepney Green,16238.0,92.9,71.6,77.3,23.7159748737529,8.5,65.2,39.8,19.8,Tower Hamlets,St. Dunstan's and Stepney Green,"16238, Tower Hamlets",00BGGH,54.0,11.7,26.9,0.4,99.2,21.2,00BG,74.44999999999999
561,Wandsworth - Tooting,16239.0,57.3,76.0,79.7,17.907506619865803,9.0,52.7,45.4,15.2,Wandsworth,Tooting,"16239, Wandsworth",00BJGR,18.0,5.7,14.4,0.6,97.0,33.7,00BJ,77.85
562,Wandsworth - Southfields,16256.0,70.0,78.9,89.8,18.503937007874,7.7,24.4,34.8,9.0,Wandsworth,Southfields,"16256, Wandsworth",00BJGP,14.7,2.8,10.1,0.7,72.3,17.0,00BJ,84.35
563,Newham - Forest Gate North,16257.0,69.6,74.2,79.8,21.2708371778311,6.9,64.1,50.5,21.0,Newham,Forest Gate North,"16257, Newham",00BBGK,28.9,8.7,17.8,0.6,90.8,13.8,00BB,77.0
564,Enfield - Haselbury,16263.0,83.4,81.0,83.4,25.4196642685851,9.3,54.3,46.0,22.1,Enfield,Haselbury,"16263, Enfield",00AKGU,19.5,11.0,27.2,0.8,72.3,27.0,00AK,82.2
565,Wandsworth - Queenstown,16331.0,42.0,76.9,84.6,14.1877411058723,7.8,35.7,42.4,15.4,Wandsworth,Queenstown,"16331, Wandsworth",00BJGK,30.7,4.6,11.9,0.5,83.2,38.5,00BJ,80.75
566,Barnet - Brunswick Park,16394.0,55.2,83.8,83.2,20.6233988044406,14.4,31.6,30.9,10.2,Barnet,Brunswick Park,"16394, Barnet",00ACFX,9.0,4.0,17.4,1.3,55.9,28.0,00AC,83.5
567,Wandsworth - West Hill,16402.0,56.1,75.8,78.3,18.8452627728326,9.5,31.7,43.5,13.5,Wandsworth,West Hill,"16402, Wandsworth",00BJGT,23.6,4.7,14.3,0.8,43.9,31.9,00BJ,77.05
568,Newham - Plaistow South,16404.0,102.3,75.4,83.4,25.1097293343087,6.6,67.3,51.7,21.9,Newham,Plaistow South,"16404, Newham",00BBGS,25.1,10.5,21.8,0.6,125.3,14.5,00BB,79.4
569,Lewisham - Telegraph Hill,16414.0,53.8,76.4,78.8,19.5321067381504,7.0,49.4,36.9,10.9,Lewisham,Telegraph Hill,"16414, Lewisham",00AZGW,36.6,8.2,14.4,0.6,71.7,99.9,00AZ,77.6
570,Enfield - Enfield Lock,16469.0,91.1,76.4,79.1,27.2876313073046,8.2,45.1,33.8,14.0,Enfield,Enfield Lock,"16469, Enfield",00AKGS,22.7,11.0,26.5,0.9,70.7,39.6,00AK,77.75
571,Croydon - Norbury,16476.0,73.7,81.5,82.8,21.018451080359302,13.4,62.3,43.6,13.0,Croydon,Norbury,"16476, Croydon",00AHGS,13.8,6.6,16.2,1.0,77.4,16.1,00AH,82.15
572,Croydon - South Norwood,16518.0,75.6,75.6,84.4,21.297977963433798,9.9,52.3,32.1,8.2,Croydon,South Norwood,"16518, Croydon",00AHGZ,20.7,9.6,15.9,0.7,100.5,17.5,00AH,80.0
573,Greenwich - Greenwich West,16527.0,64.3,75.6,82.1,17.4320808374176,7.7,33.3,34.8,9.7,Greenwich,Greenwich West,"16527, Greenwich",00ALGY,35.7,5.4,12.8,0.6,127.7,49.0,00AL,78.85
574,Enfield - Lower Edmonton,16531.0,111.2,75.7,79.8,27.451454842417302,9.2,58.9,46.1,19.5,Enfield,Lower Edmonton,"16531, Enfield",00AKGY,27.4,11.5,28.5,0.7,71.9,40.6,00AK,77.75
575,Barnet - West Finchley,16533.0,64.6,79.9,81.6,17.5588217504385,12.5,39.2,44.7,19.0,Barnet,West Finchley,"16533, Barnet",00ACGR,7.2,3.3,12.2,0.9,76.1,13.4,00AC,80.75
576,Croydon - Thornton Heath,16539.0,87.1,75.6,82.8,25.0256968377774,9.1,67.1,37.6,9.4,Croydon,Thornton Heath,"16539, Croydon",00AHHA,19.7,11.3,18.7,0.7,95.9,11.2,00AH,79.19999999999999
577,Wandsworth - St. Mary's Park,16556.0,64.6,72.5,76.2,13.916404928726699,10.4,28.2,38.9,11.3,Wandsworth,St. Mary's Park,"16556, Wandsworth",00BJGM,21.8,4.8,11.4,0.7,89.3,26.9,00BJ,74.35
578,Croydon - Fairfield,16569.0,74.2,79.2,80.9,17.587060172611498,11.7,48.7,42.3,13.7,Croydon,Fairfield,"16569, Croydon",00AHGM,15.5,4.2,12.3,0.6,261.1,17.5,00AH,80.05000000000001
579,Lewisham - Evelyn,16603.0,65.5,76.7,84.0,23.200626392820602,6.0,60.9,44.8,16.0,Lewisham,Evelyn,"16603, Lewisham",00AZGK,57.3,10.2,19.1,0.4,95.7,22.6,00AZ,80.35
580,Newham - Little Ilford,16633.0,107.8,71.2,78.9,27.782119882162,6.7,82.0,54.5,27.3,Newham,Little Ilford,"16633, Newham",00BBGP,30.1,12.0,23.2,0.6,85.2,48.6,00BB,75.05000000000001
581,Barnet - Edgware,16728.0,76.4,80.1,83.6,23.320181731229102,13.8,39.2,37.4,12.1,Barnet,Edgware,"16728, Barnet",00ACGE,15.8,4.2,17.0,1.2,93.7,54.0,00AC,81.85
