,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,District,Ward
213,68.8,77.9,84.8,15.4150863885377,17.6,30.2,27.2,6.5,Redbridge,Snaresbrook
214,78.6,77.9,82.5,22.354920100925103,12.7,28.4,20.4,5.1,Bexley,Belvedere
215,43.4,74.0,81.9,15.9607481338589,10.1,33.9,40.5,13.4,Hammersmith and Fulham,Hammersmith Broadway
216,46.0,77.2,82.5,16.1844863731656,9.1,31.9,35.9,12.6,Camden,Cantelowes
217,86.2,75.8,81.1,24.1693865595447,10.6,25.5,22.6,8.1,Sutton,St. Helier
218,89.7,74.9,82.9,21.3242047257243,9.8,34.8,33.8,11.7,Hounslow,Isleworth
219,52.2,78.7,81.3,16.3062536528346,21.3,17.7,11.4,1.7,Havering,Emerson Park
220,68.8,77.7,85.2,21.1949265687583,11.6,75.0,57.5,26.2,Harrow,Queensbury
221,55.6,80.0,85.6,17.912564658768602,14.0,25.8,48.5,14.6,Camden,Frognal and Fitzjohns
222,56.0,85.6,88.7,10.6329747310483,10.6,37.2,61.3,28.8,Westminster,Bryanston and Dorset Square
223,40.0,77.0,83.3,15.3929313929314,10.7,30.6,34.7,11.5,Islington,Junction
224,77.5,77.1,92.1,18.8964600299152,8.5,49.0,48.2,17.9,Westminster,Harrow Road
225,59.4,72.0,78.9,17.311845821565,11.2,40.1,47.9,18.7,Camden,Kilburn
226,68.0,80.3,83.8,22.7499169711059,10.3,37.2,28.2,8.7,Redbridge,Roding
227,63.1,77.2,83.0,17.886786188579,15.9,30.2,23.4,5.9,Hillingdon,Uxbridge North
228,106.7,78.3,82.8,23.637268729776803,11.7,31.4,23.1,5.6,Bexley,Erith
229,55.6,77.9,83.0,12.545605306799299,8.4,30.5,43.3,13.9,Camden,West Hampstead
230,54.1,80.9,83.5,15.2979199469628,16.3,43.7,59.9,23.7,Westminster,Regent's Park
231,50.0,74.7,84.1,17.3376408217363,9.7,28.2,29.7,9.1,Islington,Canonbury
232,117.0,77.9,83.8,27.1622292045642,6.8,52.7,38.1,7.6,Bexley,Thamesmead East
233,57.9,83.7,86.2,16.7229868952444,17.2,70.0,53.9,19.6,Brent,Kenton
234,54.3,80.5,87.4,17.7812551474222,20.0,20.2,17.5,3.7,Hillingdon,Eastcote and East Ruislip
235,85.0,77.5,87.1,24.2040312628548,11.0,32.4,28.9,11.3,Hounslow,Hanworth
236,52.6,72.7,85.4,14.792607802874699,7.6,40.1,47.2,16.4,Hammersmith and Fulham,Shepherd's Bush Green
237,86.9,75.8,82.8,20.8213788015411,9.4,50.0,43.2,17.1,Hillingdon,Heathrow Villages
238,45.1,75.0,79.5,14.884025899516402,9.4,28.9,35.5,10.9,Islington,Barnsbury
